Altitude,Temperature,Pressure,Density,Speed of sound,Viscosity
23500,220.15,3166.65,0.0501094,297.443,1.45202E-05
24000,220.65,2930.49,0.0462674,297.781,1.45483E-05
24500,221.15,2712.42,0.0427276,298.118,1.45763E-05
25000,221.65,2511.02,0.0394658,298.455,1.46044E-05
25500,222.15,2324.98,0.0364595,298.791,1.46324E-05
26000,222.65,2153.09,0.0336882,299.128,1.46604E-05
26500,223.15,1994.26,0.0311331,299.463,1.46884E-05
27000,223.65,1847.46,0.0287769,299.799,1.47164E-05
27500,224.15,1711.75,0.0266036,300.133,1.47443E-05
28000,224.65,1586.29,0.0245988,300.468,1.47722E-05
28500,225.15,1470.27,0.022749,300.802,1.48001E-05
29000,225.65,1362.96,0.021042,301.136,1.48279E-05
29500,226.15,1263.7,0.0194664,301.469,1.48557E-05
30000,226.65,1171.87,0.0180119,301.803,1.48835E-05
30500,227.15,1086.88,0.016669,302.135,1.49113E-05
31000,227.65,1008.23,0.0154288,302.468,0.000014939
31500,228.15,935.425,0.0142832,302.8,1.49668E-05
32000,228.65,868.019,0.013225,303.131,1.49945E-05
32500,230.05,805.719,0.0122011,304.058,1.50719E-05
33000,231.45,748.228,0.011262,304.982,1.51491E-05
33500,232.85,695.15,0.0104002,305.903,1.52261E-05
34000,234.25,646.122,0.00960889,306.821,1.53029E-05
34500,235.65,600.814,0.008882,307.736,1.53795E-05
35000,237.05,558.924,0.00821392,308.649,1.54559E-05
35500,238.45,520.175,0.00759959,309.559,1.55321E-05
36000,239.85,484.317,0.00703441,310.467,1.56082E-05
36500,241.25,451.118,0.00651419,311.371,0.000015684
37000,242.65,420.367,0.00603513,312.274,1.57596E-05
37500,244.05,391.872,0.00559375,313.173,1.58351E-05
38000,245.45,365.455,0.00518691,314.07,1.59104E-05
38500,246.85,340.954,0.00481172,314.965,1.59854E-05
39000,248.25,318.22,0.00446557,315.856,1.60603E-05
39500,249.65,297.118,0.00414606,316.746,0.000016135
40000,251.05,277.522,0.00385101,317.633,1.62096E-05
40500,252.45,259.316,0.00357842,318.517,1.62839E-05
41000,253.85,242.395,0.00332648,319.399,1.63581E-05
41500,255.25,226.663,0.00309352,320.279,0.000016432
42000,256.65,212.03,0.00287802,321.156,1.65058E-05
42500,258.05,198.413,0.00267858,322.03,1.65795E-05
43000,259.45,185.738,0.00249393,322.903,1.66529E-05
43500,260.85,173.934,0.00232291,323.773,1.67261E-05
44000,262.25,162.937,0.00216443,324.641,1.67992E-05
44500,263.65,152.689,0.00201752,325.506,1.68721E-05
45000,265.05,143.135,0.00188129,326.369,1.69449E-05
45500,266.45,134.224,0.0017549,327.23,1.70174E-05
46000,267.85,125.91,0.0016376,328.088,1.70898E-05
46500,269.25,118.151,0.00152869,328.945,0.000017162
47000,270.65,110.906,0.00142753,329.799,1.72341E-05
47500,270.65,104.123,0.00134022,329.799,1.72341E-05
48000,270.65,97.7545,0.00125825,329.799,1.72341E-05
48500,270.65,91.7756,0.00118129,329.799,1.72341E-05
49000,270.65,86.1623,0.00110904,329.799,1.72341E-05
49500,270.65,80.8924,0.00104121,329.799,1.72341E-05
50000,270.65,75.9448,0.000977525,329.799,1.72341E-05
50500,270.65,71.2998,0.000917737,329.799,1.72341E-05
51000,270.65,66.9389,0.000861606,329.799,1.72341E-05
51500,269.25,62.8344,0.00081298,328.945,0.000017162
52000,267.85,58.9622,0.000766867,328.088,1.70898E-05
52500,266.45,55.3101,0.000723147,327.23,1.70174E-05
53000,265.05,51.8668,0.00068171,326.369,1.69449E-05
53500,263.65,48.6213,0.000642446,325.506,1.68721E-05
54000,262.25,45.5632,0.000605252,324.641,1.67992E-05
54500,260.85,42.6826,0.00057003,323.773,1.67261E-05
55000,259.45,39.97,0.000536684,322.903,1.66529E-05
55500,258.05,37.4166,0.000505124,322.03,1.65795E-05
56000,256.65,35.0137,0.000475263,321.156,1.65058E-05
56500,255.25,32.7532,0.000447019,320.279,0.000016432
57000,253.85,30.6274,0.000420311,319.399,1.63581E-05
57500,252.45,28.629,0.000395065,318.517,1.62839E-05
58000,251.05,26.7509,0.000371207,317.633,1.62096E-05
58500,249.65,24.9865,0.000348668,316.746,0.000016135
59000,248.25,23.3296,0.000327382,315.856,1.60603E-05
59500,246.85,21.774,0.000307287,314.965,1.59854E-05
60000,245.45,20.3143,0.000288321,314.07,1.59104E-05
60500,244.05,18.9448,0.000270427,313.173,1.58351E-05
61000,242.65,17.6606,0.00025355,312.274,1.57596E-05
61500,241.25,16.4568,0.000237638,311.371,0.000015684
62000,239.85,15.3287,0.00022264,310.467,1.56082E-05
62500,238.45,14.272,0.000208509,309.559,1.55321E-05
63000,237.05,13.2826,0.0001952,308.649,1.54559E-05
63500,235.65,12.3565,0.000182669,307.736,1.53795E-05
64000,234.25,11.49,0.000170875,306.821,1.53029E-05
64500,232.85,10.6796,0.000159778,305.903,1.52261E-05
65000,231.45,9.92203,0.000149342,304.982,1.51491E-05
65500,230.05,9.21406,0.00013953,304.058,1.50719E-05
66000,228.65,8.55275,0.000130308,303.131,1.49945E-05
66500,227.25,7.93526,0.000121645,302.202,1.49169E-05
67000,225.85,7.35895,0.00011351,301.269,0.000014839
67500,224.45,6.8213,0.000105873,300.334,0.000014761
68000,223.05,6.31992,9.87069E-05,299.396,1.46828E-05
68500,221.65,5.85259,9.19852E-05,298.455,1.46044E-05
69000,220.25,5.41717,0.000085683,297.511,1.45258E-05
69500,218.85,5.01168,7.97764E-05,296.564,1.44469E-05
70000,217.45,4.63422,0.000074243,295.614,1.43679E-05
70500,216.05,4.28303,6.90613E-05,294.661,1.42886E-05
71000,214.65,3.95642,0.000064211,293.704,1.42092E-05
71500,213.65,3.6531,5.95657E-05,293.019,1.41523E-05
72000,212.65,3.37176,0.000055237,292.333,1.40953E-05
72500,211.65,3.11092,5.12046E-05,291.645,1.40382E-05
73000,210.65,2.86917,4.74496E-05,290.955,0.000013981
73500,209.65,2.64518,0.000043954,290.264,1.39236E-05
74000,208.65,2.43773,0.000040701,289.57,1.38662E-05
74500,207.65,2.24567,3.76748E-05,288.876,1.38087E-05
75000,206.65,2.06792,3.48607E-05,288.179,0.000013751
75500,205.65,1.90348,3.22446E-05,287.481,1.36932E-05
76000,204.65,1.7514,2.98135E-05,286.781,1.36353E-05
76500,203.65,1.61082,2.75551E-05,286.08,1.35773E-05
77000,202.65,1.48092,2.54579E-05,285.377,1.35192E-05
77500,201.65,1.36092,2.35111E-05,284.672,0.000013461
78000,200.65,1.25012,2.17046E-05,283.965,1.34027E-05
78500,199.65,1.14786,2.00289E-05,283.256,1.33442E-05
79000,198.65,1.05351,1.84751E-05,282.546,1.32856E-05
79500,197.65,0.966494,1.70349E-05,281.834,0.000013227
80000,196.65,0.88628,1.57005E-05,281.12,1.31682E-05
80500,195.65,0.812363,1.44647E-05,280.405,1.31092E-05
81000,194.65,0.74428,1.33205E-05,279.687,1.30502E-05
81500,193.65,0.681595,1.22616E-05,278.968,1.29911E-05
82000,192.65,0.623905,0.000011282,278.246,1.29318E-05
82500,191.65,0.570835,1.03762E-05,277.523,1.28724E-05
83000,190.65,0.522037,9.53899E-06,276.798,1.28129E-05
83500,189.65,0.477186,8.76542E-06,276.071,1.27533E-05
84000,188.65,0.435981,8.05098E-06,275.343,1.26935E-05
84500,187.65,0.398143,7.39143E-06,274.612,1.26337E-05
85000,186.946,0.36342,6.77222E-06,274.096,1.25915E-05
85500,186.946,0.331686,6.18086E-06,274.096,1.25915E-05
86000,186.946,0.302723,5.64114E-06,274.096,1.25915E-05
